    NGC2683 10.62  0.11 80.00  5.00 154.0  11.4 204.2   5.9 210.1   6.0 212.0   6.0 446.8   8.5 443.7  15.6 441.7  15.6
    NGC2841 11.03  0.13 76.00 10.00 284.8  15.3 319.3  27.2 321.7  18.4 323.0  16.5 632.8  27.8 622.5  29.6 619.4  29.5
    NGC2903 10.65  0.28 66.00  3.00 184.6   7.5 212.6   5.3 201.0   4.8 216.0   5.9 429.1  11.2 414.9  12.6 412.7  12.5
    NGC2915  9.00  0.06 56.00  4.00  83.5   8.0  44.7   9.6  38.0  13.5  86.5   7.6 185.8  11.9 183.3  17.3 174.9  17.1
    NGC2955 11.30  0.12 56.00  7.00   0.0   0.0   0.0   0.0 275.0  24.8 276.0  24.4 674.3  56.5 595.9  51.1 576.6  49.5
    NGC2976  9.28  0.11 61.00 10.00  85.4   9.6  86.3   9.9   0.0   0.0  88.7   9.7 178.4  18.6   0.0   0.0   0.0   0.0
    NGC2998 11.03  0.15 58.00  2.00 209.9   9.5 213.5   6.8 213.3   6.8 214.0   6.8 478.7  11.2 465.2  15.0 451.0  14.8
    NGC3109  8.86  0.06 70.00  5.00  66.2   3.9  51.4   3.9  50.2   3.8  67.3   3.7 143.7   6.8 130.9  13.6 123.4  13.6
    NGC3198 10.53  0.11 73.00  3.00 150.1   4.7 145.1   2.8 155.6   3.2 157.0   3.2 335.7   7.3 322.6   9.5 318.4   9.5
    NGC3521 10.68  0.28 75.00  5.00 213.7  16.9 214.2  23.6 218.1  15.5 220.0   9.8 484.5  12.4 471.6  15.2 465.9  15.1
    NGC3726 10.64  0.15 53.00  2.00 168.0  13.2 150.5   6.3 150.7   6.3 169.0  11.5 368.1  11.4 344.3  14.2 340.6  14.2
    NGC3741  8.41  0.06 70.00  4.00  50.1   3.1  16.8   2.4  22.0   2.3  51.6   3.5 108.5   7.5  90.5   8.3  84.1   8.3
    NGC3769 10.22  0.14 70.00  2.00 118.6  10.2 125.3   5.9 110.9   7.2 126.0   4.7 279.9   8.8 254.3   8.6 248.0   8.6
    NGC3877 10.58  0.16 76.00  1.00 168.4   6.2 160.7   5.3 171.0   5.0 171.0   5.0 370.0   7.2 366.9  18.1 359.2  18.1
    NGC3893 10.57  0.15 49.00  2.00 174.0  14.6 194.0   8.7 189.6   8.6 194.0   8.7 413.4  13.5 384.3  14.1 379.0  14.0
    NGC3917 10.13  0.15 79.00  2.00 135.9   5.1 120.0   4.0 136.7   3.6 138.0   5.1 300.5   6.3 290.8  17.6 287.3  17.6
    NGC3949 10.37  0.15 55.00  2.00 163.0  16.1   0.0   0.0 158.9   7.7 169.0  25.8 347.9  10.4 322.3  18.7 318.6  18.7
    NGC3953 10.87  0.16 62.00  1.00 220.8   8.0 223.8   6.0 223.1   6.4 224.0   6.0 482.5   6.7 472.3  18.5 467.8  18.5
    NGC3972  9.94  0.15 77.00  1.00 132.7   5.4 112.9   4.4 132.2   6.1 134.0   6.1 273.0  11.1 278.1   8.1 274.0   8.1
    NGC3992 11.13  0.13 56.00  2.00 241.0   9.3 254.0   9.2 271.6   8.6 272.0   8.6 577.8  14.5 570.5  15.6 564.5  15.5
    NGC4010 10.09  0.14 89.00  1.00 125.8   5.5 116.0   5.1   0.0   0.0 129.0   5.1 276.0   7.0 257.5  18.5 251.0  18.5
    NGC4013 10.64  0.16 89.00  1.00 172.9   7.5 195.0   3.0 195.0   3.0 198.0  10.0 409.1   7.0 399.1  16.0 397.1  16.0
    NGC4051 10.71  0.16 49.00  3.00 157.0  10.9 155.0  10.2   0.0   0.0 161.0   9.0 353.8  18.0 326.0  16.9 320.7  16.6
    NGC4068  8.51  0.07 44.00  6.00   0.0   0.0  27.0   3.4  40.4   6.6  41.9   6.7 116.6  13.6  93.6  12.9  92.1  12.8
    NGC4085 10.10  0.15 82.00  2.00 131.5   6.5 127.2   4.9 128.4   4.9 136.0   7.4 307.0   7.2 285.8   8.1 279.7   8.1
    NGC4088 10.81  0.15 69.00  2.00 171.7   8.4 166.3   8.3 174.0   6.6 182.0   6.6 399.5   7.3 363.1  13.9 354.5  13.8
    NGC4100 10.53  0.15 73.00  2.00 158.2   8.2 173.8   6.5 192.0   4.4 195.0   6.4 422.5  10.1 405.7   9.1 400.5   9.1
    NGC4138 10.38  0.16 53.00  3.00 147.3  18.0 183.3  16.4 186.4  16.4 195.0  10.3 412.0  19.1 391.9  17.4 381.9  19.9
    NGC4157 10.80  0.15 82.00  3.00 184.7   9.3 189.3   8.5 200.4   7.4 201.0   7.1 429.2   7.7 402.9  14.3 399.9  14.3
    NGC4183 10.00  0.14 82.00  2.00 110.6   6.6 103.1   5.2 114.2   6.1 115.0   6.1 258.5   7.1 241.3  15.0 238.3  15.0
    NGC4217 10.66  0.16 86.00  2.00 181.3   9.1 184.4   6.4 190.8   5.6 191.0   6.4 422.0  13.0 396.0  19.0 388.9  19.0
    NGC4559 10.24  0.27 67.00  1.00 121.2   5.6 104.1   5.7 113.0   4.7 124.0   4.4 278.1   5.4 262.9   9.2 259.6   9.2
    NGC5005 10.96  0.13 68.00  2.00 262.2  22.8   0.0   0.0 264.7  22.5 265.0  22.5 613.7  13.2   0.0   0.0   0.0   0.0
    NGC5033 10.85  0.27 66.00  1.00 194.2   4.7 219.1   3.4 224.4   8.2 225.0   8.2 492.6   5.5 491.5  18.4 480.5  18.4
    NGC5055 10.96  0.10 55.00  6.00 179.0  14.2 204.0  15.0 206.0  15.2 206.0  15.1 488.3  36.2 476.1  34.9   0.0   0.0
    NGC5371 11.27  0.24 53.00  2.00 209.5   7.4 240.4   7.0 241.2   7.0 242.0   7.0 523.4  15.4 507.1  13.5   0.0   0.0
    NGC5585  9.57  0.27 51.00  2.00  90.3   3.7  72.4   3.2  77.6   4.4  92.3   3.0 208.5   7.1 193.0   9.7 191.1   9.7
    NGC5907 11.06  0.10 88.00  2.00 215.0   3.8 235.0   4.0 230.3   2.0 235.0   4.0 490.3   4.0 481.3   8.0 478.3   8.0
    NGC5985 11.08  0.24 60.00  2.00 293.6  10.5 294.3   8.0 289.2   8.7 305.0  11.8 622.4  14.9 635.1  23.7 627.0  23.7
    NGC6015 10.38  0.27 60.00  2.00 154.1   8.1 149.0   3.8 149.0   5.0 166.0   7.1 361.4   8.8 354.5  10.7 351.0  10.7
    NGC6195 11.35  0.13 62.00  5.00 251.7  15.1 251.3  14.4 257.7  19.5 258.0  19.5 675.0  34.3 620.6  34.0 595.7  33.0
    NGC6503  9.94  0.09 74.00  2.00 116.3   3.3 119.9   2.3 118.8   2.3 121.0   2.3 263.2  12.3 172.7  50.0 169.6  50.0
    NGC6674 11.18  0.19 54.00  6.00 241.3  19.1 288.4  23.0 280.8  21.9 291.0  23.2 561.2  42.7 552.5  45.0 543.9  44.4
    NGC6789  7.86  0.09 43.00  7.00   0.0   0.0  58.5  12.1   0.0   0.0  60.4  12.3   0.0   0.0   0.0   0.0   0.0   0.0
    NGC6946 10.61  0.28 38.00  2.00 158.9  14.8 177.2   9.4 177.8   8.0 181.0   9.0 396.3  19.0   0.0   0.0   0.0   0.0
